2025-12-08_16-10-32,0,Veiculo.py:2025-12-08_16-10-32;draft.py:2025-12-08_16-10-32
2025-12-08_16-10-39,0,Veiculo.py:2025-12-08_16-10-39;draft.py:2025-12-08_16-10-32
2025-12-08_16-16-22,0,Veiculo.py:2025-12-08_16-16-22;draft.py:2025-12-08_16-10-32
2025-12-08_16-16-25,---,Veiculo.py:2025-12-08_16-16-22;draft.py:2025-12-08_16-10-32
2025-12-08_16-25-01,0,Veiculo.py:2025-12-08_16-25-01;draft.py:2025-12-08_16-10-32
2025-12-08_16-25-03,---,Veiculo.py:2025-12-08_16-25-01;draft.py:2025-12-08_16-10-32
2025-12-08_16-33-02,0,Bike.py:2025-12-08_16-33-02;Veiculo.py:2025-12-08_16-33-02;draft.py:2025-12-08_16-10-32
2025-12-08_16-33-02,---,Bike.py:2025-12-08_16-33-02;Veiculo.py:2025-12-08_16-33-02;draft.py:2025-12-08_16-10-32
2025-12-08_23-17-27,0,Bike.py:2025-12-08_23-17-27;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-08_23-17-28,---,Bike.py:2025-12-08_23-17-27;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-15-23,0,Bike.py:2025-12-09_14-15-23;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-15-23,0,Bike.py:2025-12-09_14-15-23;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-15-24,0,Bike.py:2025-12-09_14-15-24;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-15-25,---,Bike.py:2025-12-09_14-15-24;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-26-46,---,Moto.py:2025-12-09_14-26-46;Bike.py:2025-12-09_14-26-46;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
2025-12-09_14-44-07,---,Carro.py:2025-12-09_14-44-07;Bike.py:2025-12-09_14-26-46;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-08_23-17-27;draft.py:2025-12-08_16-10-32
